('Total Revenue', '281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         862734 function calls (838439 primitive calls) in 4.154 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       21    0.000    0.000    0.000    0.000 parse.py:855(quote)
       69    0.000    0.000    0.000    0.000 structures.py:46(__setitem__)
       58    0.000    0.000    0.001    0.000 parser.py:123(set_cdata_mode)
      170    0.000    0.000    0.000    0.000 enum.py:202(__get__)
      216    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
       12    0.000    0.000    0.001    0.000 cookiejar.py:726(is_third_party)
       14    0.000    0.000    0.000    0.000 _deprecation.py:66(_deprecated)
      116    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 _collections.py:240(__init__)
      220    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:420(__exit__)
        3    0.000    0.000    0.006    0.002 utils.py:1(<module>)
        2    0.000    0.000    0.002    0.001 parser.py:41(parse)
      507    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        2    0.000    0.000    0.000    0.000 response.py:341(__init__)
       19    0.000    0.000    0.000    0.000 cookiejar.py:677(escape_path)
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
       12    0.000    0.000    0.000    0.000 cookiejar.py:1667(set_cookie)
       12    0.000    0.000    0.000    0.000 cookiejar.py:550(domain_match)
        8    0.000    0.000    0.000    0.000 message.py:596(get_content_type)
      244    0.000    0.000    0.000    0.000 types.py:192(__init__)
      553    0.000    0.000    0.000    0.000 typing.py:953(__eq__)
      192    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
        3    0.000    0.000    0.000    0.000 cookiejar.py:1096(return_ok)
        7    0.000    0.000    0.000    0.000 {method 'read' of '_io.StringIO' objects}
      165    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
